l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160379563,1702653029,1702652723,-306,0xad8663715b08f41a3aec47cc,443754,1587428,100875685993
160379564,1702653029,1702652723,-306,0xad8663715b08f41a3aec47cc,443755,1553596,100875685993
160379565,1702653029,1702652747,-282,0xad8663715b08f41a3aec47cc,443756,1547072,100499019002
160379566,1702653029,1702652747,-282,0xad8663715b08f41a3aec47cc,443757,1595232,100499019002
160379567,1702653029,1702652747,-282,0xad8663715b08f41a3aec47cc,443758,1605912,100499019002
160379568,1702653029,1702652747,-282,0xad8663715b08f41a3aec47cc,443759,1509512,100499019002
160379569,1702653029,1702652747,-282,0xad8663715b08f41a3aec47cc,443760,1407560,100499019002
160379570,1702653029,1702652747,-282,0xad8663715b08f41a3aec47cc,443761,1609000,100499019002
160381088,1702653419,1702652771,-648,0xad8663715b08f41a3aec47cc,443762,1614914,98001495435
160381089,1702653419,1702652771,-648,0xad8663715b08f41a3aec47cc,443763,1613738,98001495435
160381090,1702653419,1702652771,-648,0xad8663715b08f41a3aec47cc,443764,1586588,98001495435
160381091,1702653419,1702652771,-648,0xad8663715b08f41a3aec47cc,443765,1546276,98001495435
160381092,1702653419,1702652771,-648,0xad8663715b08f41a3aec47cc,443766,1471488,98001495435
160381093,1702653419,1702652771,-648,0xad8663715b08f41a3aec47cc,443767,1549772,98001495435
160381094,1702653419,1702652795,-624,0xad8663715b08f41a3aec47cc,443768,1600508,101536294304
160381095,1702653419,1702652795,-624,0xad8663715b08f41a3aec47cc,443769,1560458,101536294304
160381096,1702653419,1702652795,-624,0xad8663715b08f41a3aec47cc,443770,1607010,101536294304
160381097,1702653419,1702652795,-624,0xad8663715b08f41a3aec47cc,443771,1571564,101536294304
160381098,1702653419,1702652795,-624,0xad8663715b08f41a3aec47cc,443772,1597910,101536294304
160381099,1702653419,1702652795,-624,0xad8663715b08f41a3aec47cc,443773,1562104,101536294304
160381100,1702653419,1702652831,-588,0xad8663715b08f41a3aec47cc,443774,1609474,89351508854
